ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66607,230.0,3,20,12500,100000,78133.8984375,98952.90192293373,21187.56483786797,0.9895290192293373,0.21187564837867967,0.9952829451334002,3,8,7,[3;6;7;8;12;15;16;20];[3;4;9;10;18;19;20],0.21866103,0.29182655,0.2904499843622504,8,0,
66510,230.0,9,21,12500,250000,195334.75,193393.7894494875,141123.9781743916,0.7735751577979499,0.5644959126975664,0.267590953283144,3,10,8,[9;11;16;21];[9;10;18;19;20;21],0.21866103,0.29182655,0.07809014368889,8,1,
66555,230.0,0,22,12500,100000,100000.0,124810.64239108264,44248.836403073714,1.2481064239108264,0.4424883640307371,0.8056180598800893,0,8,8,[0;2;4;7;8;12;15;22];[0;1;2;10;11;16;21;22],0.0,0.0,0.0,2,0,
66459,230.0,14,20,12500,200000,156267.796875,257738.38205220728,153220.20215097608,1.2886919102610364,0.7661010107548805,0.6688401658845066,3,8,7,[14;15;16;20],0.21866103,0.29182655,0.19518531556467306,8,1,
66444,230.0,16,21,12500,250000,195334.75,229582.98726399563,217310.531615837,0.9183319490559825,0.8692421264633481,0.06282781639926324,3,5,4,[16;21];[16;20;21],0.21866103,0.29182655,0.01833482466459272,8,3,
66549,230.0,3,22,12500,100000,63987.95703125,142581.8358559411,46274.327301279074,1.425818358559411,0.4627432730127907,1.505088002739547,2,8,6,[3;6;7;8;12;15;22];[3;4;9;11;16;21;22],0.36012045,0.0,0.0,4,0,
66656,230.0,9,21,12500,250000,195334.75,210904.6465983937,7465.574165564703,0.8436185863935748,0.029862296662258814,1.0414894180663832,3,10,8,[9;11;16;21];[9;10;18;19;20;21],0.21866103,0.29182655,0.30393425977000477,8,1,
66639,230.0,4,23,12500,200000,156267.796875,786812.2478951932,20754.81104825485,3.934061239475966,0.10377405524127425,4.9022092005615825,3,16,13,[4;7;8;13;14;23];[4;9;11;16;21;22;23],0.21866103,0.29182655,1.4305947797113614,8,0,
66536,230.0,10,23,12500,150000,117200.8515625,134080.31303355016,76530.51806379097,0.8938687535570011,0.5102034537586064,0.4910356514125721,3,12,10,[10;11;16;21;22;23],0.21866103,0.29182655,0.14329723820895285,8,0,
66506,230.0,4,20,12500,200000,156267.796875,126628.96336192943,113475.70368745891,0.6331448168096472,0.5673785184372946,0.08417127423103188,3,16,13,[4;9;11;16;20];[4;7;8;9;10;18;19;20],0.21866103,0.29182655,0.024563412247435964,8,0,
