ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
6594,230.0,13,0,12500,60000,60000.0,55198.189632542024,20788.519263056103,0.9199698272090338,0.34647532105093504,0.5734945061580987,1,5,5,[13;8;9;2;0];[13;12;8;7;6;3;1;0],0.0,0.4036015,0.23146324144280805,4,0,
6627,230.0,13,4,12500,70000,60764.3359375,47822.22284951278,13659.7999677085,0.6831746121358968,0.19513999953869288,0.5622117259249689,3,3,3,[13;8;7;4];[13;12;8;9;4];[13;14;15;16;17;10;2;4],0.13193803,0.42261276,0.2375978472245492,8,1,
6603,230.0,11,8,12500,80000,69444.953125,33539.21974117128,23658.69641977099,0.419240246764641,0.2957337052471374,0.14227848615091726,3,3,2,[11;9;8];[11;12;8];[11;10;2;4;7;8];[11;16;15;14;13;8],0.13193803,0.42261276,0.06012870322156408,8,2,
5971,230.0,12,9,12500,40000,34722.4765625,123026.69130103439,122101.60174755742,3.0756672825258597,3.0525400436889356,0.026642382582641812,3,2,1,[12;8;9];[12;11;9];[12;13;8;7;4;9];[12;15;16;17;10;9],0.13193803,0.42261276,0.011259410742730269,8,2,
6571,230.0,16,23,12500,40000,34722.4765625,124460.65677390536,17381.58476366692,3.111516419347634,0.43453961909167305,3.083854522374152,3,2,2,[16;21;22;23];[16;15;14;23],0.13193803,0.42261276,1.3032762603168744,8,1,
6189,230.0,13,23,12500,50000,50000.0,137073.47433549425,101878.78547416176,2.741469486709885,2.037575709483235,0.70389377722665,1,2,2,[13;14;23];[13;12;15;22;23],0.0,0.4036015,0.28409258250747316,4,2,
6519,230.0,16,11,12500,80000,69444.953125,86156.7997609876,50458.998219293106,1.0769599970123451,0.6307374777411638,0.5140445497727303,3,3,2,[16;11];[16;17;10;11];[16;15;12;11];[16;20;19;18;10;9;11],0.13193803,0.42261276,0.2172417841384782,8,2,
6575,230.0,14,7,12500,60000,52083.71875,73223.97963070983,25526.940989960138,1.2203996605118306,0.42544901649933564,0.9157763856480842,3,3,3,[14;13;8;7];[14;15;12;8;9;4;7];[14;23;22;21;16;17;10;2;1;3;6;7],0.13193803,0.42261276,0.38701878266783396,8,1,
6621,230.0,17,10,12500,40000,34722.4765625,211262.28221219804,8506.42934040593,5.281557055304951,0.21266073351014825,5.839325482356802,3,2,1,[17;10];[17;19;18;10];[17;16;11;10],0.13193803,0.42261276,2.4677734381452376,8,2,
5821,230.0,8,18,12500,50000,50000.0,183894.3870717351,183023.673070125,3.677887741434702,3.6604734614025,0.017414280032202356,0,2,2,[8;9;10;18];[8;12;15;21;20;19;18],0.0,0.0,0.0,2,1,
6601,230.0,14,0,12500,60000,52083.71875,34928.9102513594,17965.93716445841,0.5821485041893233,0.29943228607430683,0.325686680474462,3,5,5,[14;13;8;9;2;0];[14;15;12;8;7;6;3;1;0],0.13193803,0.42261276,0.13763934578762063,8,0,
6555,230.0,8,0,12500,60000,60000.0,41926.011032534945,30851.572799214893,0.6987668505422491,0.5141928799869149,0.1845739705553342,1,3,3,[8;9;2;0];[8;7;6;3;1;0],0.0,0.4036015,0.07449433089936106,4,1,
6570,230.0,2,1,12500,80000,69444.953125,163363.9585227314,35055.80236470337,2.042049481534143,0.4381975295587921,1.8476238176008388,3,2,2,[2;1];[2;0;1];[2;4;3;1],0.13193803,0.42261276,0.7808293945141744,8,3,
6598,230.0,5,13,12500,60000,52083.71875,80821.42211644986,19998.94848841194,1.3470237019408309,0.333315808140199,1.1677828781947415,3,3,3,[5;3;6;7;8;13];[5;4;9;8;12;13],0.13193803,0.42261276,0.4935199411365317,8,1,
6184,230.0,1,6,12500,70000,70000.0,167572.25146004866,143650.79740376302,2.393889306572124,2.052154248625186,0.3417350579469378,1,2,2,[1;3;6];[1;2;4;7;6];[1;0;2;9;4;5;6],0.0,0.4036015,0.13792478110546771,4,2,
6605,230.0,5,12,12500,50000,39570.83203125,201112.1420182903,14056.603867727092,4.022242840365806,0.2811320773545418,4.727106494929327,2,2,2,[5;3;6;7;8;12];[5;4;9;11;12],0.20858335,0.0,0.0,4,1,
6315,230.0,13,1,12500,80000,69444.953125,134678.54498429346,118878.90172044023,1.6834818123036683,1.485986271505503,0.22751318449263983,3,7,6,[13;8;7;6;3;1];[13;12;8;9;2;1];[13;14;15;16;17;10;2;0;1],0.13193803,0.42261276,0.09614997403641339,8,0,
6655,230.0,6,17,12500,50000,39570.83203125,50604.27610229148,3362.9312193349747,1.0120855220458296,0.0672586243866995,1.193842590459264,2,4,4,[6;3;1;2;10;17];[6;7;8;12;15;16;17];[6;5;4;9;10;18;19;17],0.20858335,0.0,0.0,4,0,
6634,230.0,0,2,12500,60000,60000.0,56053.0920751804,9879.575770437512,0.9342182012530067,0.16465959617395853,0.7695586050790482,0,2,2,[0;2];[0;1;2],0.0,0.0,0.0,2,3,
6653,230.0,19,3,12500,50000,50000.0,18351.60129552058,3606.7991534713074,0.3670320259104116,0.07213598306942615,0.2948960428409855,1,4,4,[19;18;10;2;1;3];[19;17;10;9;4;3];[19;20;21;15;12;8;7;6;3],0.0,0.4036015,0.1190204844714148,4,0,
6505,230.0,9,22,12500,40000,31656.666015625,40937.351159416976,27284.725174002488,1.0234337789854244,0.6821181293500622,0.43127176029230163,2,4,3,[9;8;12;15;22];[9;11;16;21;22];[9;4;7;8;13;14;23;22],0.20858335,0.0,0.0,4,0,
6542,230.0,10,6,12500,40000,34722.4765625,46702.35938116235,22524.874771654027,1.1675589845290588,0.5631218692913507,0.6963064196665304,3,2,2,[10;2;1;3;6];[10;9;8;7;6];[10;11;9;4;5;6],0.13193803,0.42261276,0.2942679753774477,8,1,
6599,230.0,23,22,12500,60000,52083.71875,77420.23601437474,18697.432532844046,1.2903372669062456,0.3116238755474008,1.127469508798705,3,2,2,[23;22];[23;14;15;22],0.13193803,0.42261276,0.4764829969726446,8,3,
6123,230.0,1,19,12500,70000,70000.0,167516.39393339716,163034.56526176346,2.3930913419056736,2.3290652180251925,0.06402612388048112,0,6,6,[1;2;10;18;19];[1;0;2;9;10;17;19];[1;3;6;7;8;12;15;21;20;19],0.0,0.0,0.0,2,0,
6187,230.0,4,21,12500,50000,39570.83203125,177581.8037450808,102268.27760829948,3.551636074901616,2.0453655521659897,1.9032585833980915,2,4,4,[4;7;8;12;15;21];[4;9;11;16;21];[4;2;10;18;19;20;21];[4;3;1;2;9;8;13;14;23;22;21],0.20858335,0.0,0.0,4,0,
6604,230.0,13,23,12500,60000,52083.71875,89657.73220352439,17157.682719160122,1.4942955367254065,0.2859613786526687,1.3919906805152293,3,2,2,[13;14;23];[13;12;15;22;23],0.13193803,0.42261276,0.5882730185019167,8,2,
6656,230.0,9,14,12500,80000,69444.953125,90745.98329264745,5361.015943327629,1.1343247911580931,0.06701269929159537,1.2295344587866444,3,4,3,[9;8;13;14];[9;11;16;15;14];[9;4;7;8;12;15;22;23;14],0.13193803,0.42261276,0.5196169468281339,8,1,
6452,230.0,10,9,12500,80000,80000.0,224349.82283347522,72357.36126467913,2.8043727854184404,0.9044670158084891,1.8999057696099513,1,3,3,[10;9];[10;11;9];[10;2;9];[10;17;16;15;12;8;9];[10;18;19;20;21;15;14;13;8;7;4;9],0.0,0.4036015,0.7668048135557577,4,2,
6661,230.0,0,16,12500,50000,43403.09765625,228066.77434057364,2440.404017292508,4.561335486811473,0.04880808034585016,5.198393220455152,3,4,4,[0;2;10;17;16];[0;1;2;9;11;16],0.13193803,0.42261276,2.1969072882191574,8,0,
6546,230.0,0,8,12500,80000,80000.0,230981.96205582668,43878.070947399974,2.8872745256978334,0.5484758868424997,2.3387986388553337,1,4,4,[0;2;9;8];[0;1;3;6;7;8],0.0,0.4036015,0.9439426327865237,4,1,
6618,230.0,9,6,12500,40000,34722.4765625,12797.122192244928,9878.563096497714,0.3199280548061232,0.24696407741244286,0.08405388183954077,3,2,2,[9;4;3;6];[9;8;7;6];[9;2;4;5;6],0.13193803,0.42261276,0.03552224269795253,8,1,
6540,230.0,6,2,12500,60000,60000.0,184490.94303229358,33993.38800745227,3.0748490505382264,0.5665564667908711,2.5082925837473553,1,3,3,[6;3;1;2];[6;7;4;2];[6;5;4;9;2],0.0,0.4036015,1.0123506427471645,4,1,
1416,230.0,1,4,12500,70000,70000.0,3274496.7110611047,1624801.9480566236,46.77852444373006,23.21145640080891,23.567068042921154,1,2,2,[1;3;4];[1;2;4];[1;0;2;9;4],0.0,0.4036015,9.511703951727057,4,2,
6368,230.0,14,11,12500,70000,60764.3359375,167242.35592501806,88145.51902129193,2.3891765132145437,1.2592217003041704,1.3016983410311624,3,6,5,[14;15;16;11];[14;13;12;11];[14;23;22;15;12;8;9;11],0.13193803,0.42261276,0.5501143240225604,8,0,
6534,230.0,9,0,12500,80000,80000.0,58002.41938343305,47234.160424202404,0.7250302422929131,0.59042700530253,0.13460323699038312,1,3,3,[9;2;0];[9;4;3;1;0],0.0,0.4036015,0.054326068005784316,4,2,
5992,230.0,22,21,12500,40000,31656.666015625,174341.07843455722,118867.65180860025,4.35852696086393,2.971691295215006,1.75234583998574,2,1,1,[22;21];[22;15;21];[22;23;14;15;16;21],0.20858335,0.0,0.0,4,3,
6239,230.0,4,9,12500,80000,69444.953125,149221.50053138353,145594.78344982097,1.865268756642294,1.819934793122762,0.05222434068292494,3,2,2,[4;9];[4;2;9];[4;7;8;9];[4;3;1;2;10;9],0.13193803,0.42261276,0.0220706725719207,8,3,
6299,230.0,1,18,12500,50000,39570.83203125,137224.8691910709,76355.71803512277,2.744497383821418,1.5271143607024555,1.5382327762919061,2,2,2,[1;2;10;18];[1;0;2;9;10;17;19;18],0.20858335,0.0,0.0,4,1,
6360,230.0,7,8,12500,40000,34722.4765625,85333.87906719312,52436.87445410714,2.133346976679828,1.3109218613526785,0.9474267430981134,3,1,1,[7;8];[7;4;9;8];[7;6;3;1;2;10;11;12;8],0.13193803,0.42261276,0.40039462747370697,8,3,
6265,230.0,2,1,12500,70000,70000.0,158093.98788873522,119593.48486869058,2.258485541267646,1.7084783552670082,0.5500071860006379,1,2,2,[2;1];[2;0;1];[2;4;3;1],0.0,0.4036015,0.22198372385706822,4,3,
6260,230.0,17,1,12500,40000,31656.666015625,126961.4212555139,69276.90533801567,3.1740355313878474,1.7319226334503917,1.8221917708671103,2,2,2,[17;10;2;1];[17;16;11;9;2;0;1];[17;19;18;10;9;4;3;1],0.20858335,0.0,0.0,4,1,
6428,230.0,2,7,12500,40000,34722.4765625,61038.34264879424,39446.58099108267,1.525958566219856,0.9861645247770667,0.6218381480537298,3,2,1,[2;4;7];[2;9;8;7];[2;1;3;6;7],0.13193803,0.42261276,0.26279673384006336,8,2,
6530,230.0,10,8,12500,40000,31656.666015625,29045.701628065643,24257.2291628899,0.7261425407016411,0.6064307290722475,0.151262691248834,2,2,2,[10;9;8];[10;2;4;7;8];[10;11;12;8];[10;17;16;15;14;13;8],0.20858335,0.0,0.0,4,1,
6657,230.0,2,1,12500,40000,40000.0,28924.011782376056,2639.7655444277743,0.7231002945594014,0.06599413861069436,0.657106155948707,1,1,1,[2;1];[2;0;1];[2;4;3;1],0.0,0.4036015,0.26520902849936256,4,3,
6617,230.0,16,5,12500,60000,52083.71875,111065.248735119,14905.309237751184,1.8510874789186502,0.24842182062918639,1.8462572173569607,3,5,5,[16;11;9;4;5];[16;15;12;8;7;6;3;5],0.13193803,0.42261276,0.7802518518180883,8,0,
6327,230.0,21,23,12500,70000,60764.3359375,169155.99998626136,100472.85592519518,2.4165142855180193,1.435326513217074,1.1303199746143382,3,2,2,[21;22;23];[21;15;14;23],0.13193803,0.42261276,0.47768764018827187,8,2,
6401,230.0,18,20,12500,80000,80000.0,335030.053500428,86977.48583018238,4.18787566875535,1.0872185728772799,3.10065709587807,1,3,3,[18;19;20];[18;10;17;16;20],0.0,0.4036015,1.2514298468566887,4,2,
6469,230.0,9,12,12500,80000,80000.0,136201.4231074889,64669.25421939862,1.7025177888436112,0.8083656777424828,0.8941521111011284,1,3,3,[9;8;12];[9;11;12];[9;4;7;8;13;12];[9;10;17;16;15;12],0.0,0.4036015,0.3608811309542731,4,2,
6626,230.0,5,23,12500,70000,60764.3359375,104525.27405880879,14126.624029125025,1.4932182008401256,0.20180891470178608,1.487692521994551,3,6,5,[5;3;6;7;8;13;14;23];[5;4;9;8;12;15;22;23],0.13193803,0.42261276,0.6287178375307295,8,0,
6442,230.0,7,1,12500,50000,39570.83203125,162240.95533352313,46721.56326966643,3.2448191066704624,0.9344312653933287,2.9193066076226204,2,2,2,[7;6;3;1];[7;4;2;1];[7;8;9;2;0;1],0.20858335,0.0,0.0,4,1,
5698,230.0,13,7,12500,80000,69444.953125,344868.5781233871,326749.6404217968,4.310857226542339,4.08437050527246,0.2609107780011493,3,3,2,[13;8;7];[13;12;8;9;4;7];[13;14;15;16;17;10;2;1;3;6;7],0.13193803,0.42261276,0.11026422308920072,8,2,
5305,230.0,10,19,12500,50000,43403.09765625,310282.4727017271,292382.85859038343,6.205649454034543,5.847657171807668,0.4124040665630089,3,2,2,[10;18;19];[10;17;19];[10;11;16;20;19],0.13193803,0.42261276,0.17428721935817035,8,1,
6389,230.0,20,13,12500,40000,34722.4765625,76953.3653000029,45832.03208062983,1.9238341325000725,1.1458008020157457,0.8962877842432179,3,4,3,[20;21;15;14;13];[20;16;15;12;13];[20;19;18;10;9;8;13],0.13193803,0.42261276,0.3787826511079747,8,0,
6513,230.0,8,12,12500,50000,43403.09765625,55685.78089818015,32638.882606243234,1.113715617963603,0.6527776521248647,0.5309966191525534,3,1,1,[8;12];[8;13;12];[8;9;11;12];[8;7;4;2;10;17;16;15;12],0.13193803,0.42261276,0.22440594490730692,8,3,
6365,230.0,13,17,12500,70000,60764.3359375,171700.64066817224,89329.33759837163,2.4528662952596036,1.2761333942624518,1.3555863009419975,3,6,5,[13;14;15;16;17];[13;8;9;10;17];[13;12;15;21;20;19;17],0.13193803,0.42261276,0.5728880633021391,8,0,
6448,230.0,16,2,12500,70000,55399.1640625,110074.23610811042,64406.719452402685,1.5724890872587203,0.9200959921771812,0.8243358276098451,2,3,3,[16;17;10;2];[16;11;9;2];[16;15;12;8;7;4;2];[16;20;19;18;10;9;4;3;1;2],0.20858335,0.0,0.0,4,1,
6205,230.0,9,7,12500,70000,60764.3359375,308072.40591056173,138355.34575279703,4.401034370150882,1.9765049393256717,2.7930372983302076,3,2,2,[9;8;7];[9;4;7];[9;2;1;3;6;7],0.13193803,0.42261276,1.1803731916286873,8,2,
6438,230.0,7,9,12500,60000,52083.71875,193518.37483992468,56418.81407134626,3.225306247332078,0.940313567855771,2.632292146693642,3,2,2,[7;8;9];[7;4;9];[7;6;3;1;2;9],0.13193803,0.42261276,1.1124402400030415,8,2,
6533,230.0,18,1,12500,70000,70000.0,72418.33077762269,41714.23280791608,1.034547582537467,0.5959176115416582,0.4386299709958088,0,3,3,[18;10;2;1];[18;19;17;10;9;2;0;1],0.0,0.0,0.0,2,1,
6167,230.0,23,18,12500,50000,43403.09765625,115302.25326719208,106726.13957293908,2.3060450653438416,2.1345227914587817,0.19759220175451803,3,4,4,[23;22;21;20;19;18];[23;14;13;8;9;10;18],0.13193803,0.42261276,0.08350498504454486,8,0,
6641,230.0,8,14,12500,60000,52083.71875,27246.7659910577,8261.969474969106,0.45411276651762833,0.1376994912494851,0.36450540392489833,3,3,3,[8;13;14];[8;12;15;14];[8;9;11;16;21;22;23;14],0.13193803,0.42261276,0.15404463350846,8,1,
6532,230.0,16,8,12500,80000,69444.953125,66765.9754418986,47804.0546445942,0.8345746930237326,0.5975506830574275,0.2730496450234293,3,4,3,[16;15;12;8];[16;11;9;8];[16;21;15;14;13;8];[16;17;10;2;4;7;8],0.13193803,0.42261276,0.11539426314216063,8,1,
6654,230.0,23,5,12500,50000,50000.0,22952.86837863717,3388.718764487564,0.4590573675727434,0.06777437528975128,0.3912829922829921,1,4,4,[23;14;13;8;7;6;3;5];[23;22;15;12;8;9;4;5],0.0,0.4036015,0.1579224015971572,4,0,
6377,230.0,5,7,12500,60000,52083.71875,94709.43328812055,72037.48978566175,1.5784905548020092,1.2006248297610291,0.43529810378124867,3,2,2,[5;3;6;7];[5;4;7],0.13193803,0.42261276,0.18396253153417153,8,2,
5332,230.0,5,0,12500,40000,31656.666015625,248977.83361307817,230319.20796406709,6.224445840326954,5.757980199101677,0.5894059016104946,2,2,2,[5;3;1;0];[5;4;2;0],0.20858335,0.0,0.0,4,1,
6472,230.0,5,18,12500,80000,63313.33203125,154048.65681942596,62306.939795920756,1.9256082102428245,0.7788367474490094,1.449011048688891,2,7,6,[5;4;2;10;18];[5;3;4;9;10;17;19;18],0.20858335,0.0,0.0,4,0,
6509,230.0,13,3,12500,60000,52083.71875,97880.88352780754,40091.63738737712,1.6313480587967923,0.6681939564562853,1.1095453400873663,3,3,3,[13;8;7;6;3];[13;12;8;9;4;3];[13;14;15;16;17;10;2;1;3],0.13193803,0.42261276,0.4689080146257412,8,1,
6608,230.0,2,4,12500,80000,69444.953125,149325.69396257718,21784.390597584603,1.8665711745322149,0.27230488246980755,1.8365812188492754,3,3,2,[2;4];[2;9;4];[2;1;3;4];[2;10;9;8;7;4],0.13193803,0.42261276,0.7761626514169554,8,2,
6531,230.0,8,19,12500,60000,60000.0,208815.9741724987,35986.08028394359,3.480266236208312,0.5997680047323932,2.8804982314759187,1,5,5,[8;9;10;18;19];[8;12;15;21;20;19];[8;7;4;2;10;17;19],0.0,0.4036015,1.1625733995155147,4,0,
6615,230.0,0,5,12500,70000,70000.0,24405.962213677023,17681.096299283432,0.3486566030525289,0.2525870899897633,0.09606951306276557,1,3,3,[0;1;3;5];[0;2;4;5],0.0,0.4036015,0.038773799327747736,4,1,
6651,230.0,4,0,12500,50000,43403.09765625,4298.980698992949,4156.868479948273,0.08597961397985898,0.08313736959896545,0.003274241370665956,3,2,2,[4;2;0];[4;3;1;0],0.13193803,0.42261276,0.0013837361710730518,8,2,
6492,230.0,23,21,12500,50000,50000.0,145429.58931785356,36529.31328062259,2.9085917863570714,0.7305862656124518,2.1780055207446196,0,2,2,[23;22;21];[23;14;15;21],0.0,0.0,0.0,2,2,
6079,230.0,5,0,12500,40000,31656.666015625,115092.89604913277,102246.86559286753,2.8773224012283194,2.556171639821688,0.40579227568093656,2,2,2,[5;3;1;0];[5;4;2;0],0.20858335,0.0,0.0,4,1,
6639,230.0,16,13,12500,60000,60000.0,32464.232023978424,8726.740054125486,0.5410705337329738,0.1454456675687581,0.39562486616421566,1,5,5,[16;15;14;13];[16;21;15;12;13];[16;11;9;8;13],0.0,0.4036015,0.15967478839719187,4,0,
6553,230.0,17,14,12500,50000,43403.09765625,92355.10237699458,25919.82166744753,1.8471020475398916,0.5183964333489506,1.5306575749311202,3,4,4,[17;16;15;14];[17;10;9;8;13;14];[17;19;20;21;22;23;14],0.13193803,0.42261276,0.6468754169850223,8,0,
