19817,0,1,87500,0,0,1,2,87500,100000,
19896,0,1,87500,0,13,14,2,87500,100000,
19786,0,3,62500,0;3,17,18,2,62500,75000,
19737,0,5,62500,0;3;8,4,6,3,62500,75000,
19838,0,5,37500,0;3;8,9,10,2,37500,50000,
19667,0,17,37500,1;6;23,86,87,2,37500,50000,
19825,0,17,87500,1;6;23,16,19,4,87500,100000,
19894,0,18,37500,1;6;22,0,1,2,37500,50000,
19628,0,20,37500,1;6;22;38;39,119,122,4,37500,50000,
19820,0,20,62500,1;6;22;38;39,73,78,6,62500,75000,
19870,0,20,75000,1;6;22;38;39,93,99,7,75000,87500,
19724,1,2,87500,2,0,1,2,87500,100000,
19919,1,3,87500,3,0,1,2,87500,100000,
19861,1,4,62500,3;7,22,23,2,62500,75000,
19922,1,12,62500,3;9;14;15;17,111,113,3,62500,75000,
19899,1,18,62500,2;6;22,4,6,3,62500,75000,
19696,1,21,37500,3;9;14;15;17;27;32,105,108,4,37500,50000,
19917,2,4,62500,4,12,13,2,62500,75000,
19754,2,5,62500,4;10,4,5,2,62500,75000,
19920,2,5,100000,4;10,16,18,3,100000,112500,
19776,2,6,37500,4;10;13,8,9,2,37500,50000,
19756,2,8,87500,4;11;15,34,37,4,87500,100000,
19824,2,9,62500,5,4,5,2,62500,75000,
19892,2,13,62500,4;11;15;18,148,150,3,62500,75000,
19888,2,22,37500,4;11;15;17;27;33,120,123,4,37500,50000,
19661,3,4,37500,7,10,10,1,37500,50000,
19803,3,4,87500,7,0,1,2,87500,100000,
19908,3,4,87500,7,4,5,2,87500,100000,
19882,3,5,62500,8,0,0,1,62500,75000,
19846,3,9,62500,7;12,18,19,2,62500,75000,
19914,3,9,62500,7;12,38,39,2,62500,75000,
19806,3,12,37500,9;14;15;17,17,18,2,37500,50000,
19771,3,13,62500,9;14;15;18,8,10,3,62500,75000,
19784,3,13,62500,9;14;15;18,79,81,3,62500,75000,
19878,3,13,37500,9;14;15;18,40,41,2,37500,50000,
19658,3,19,50000,7;12;19;22;38,60,64,5,50000,62500,
19840,4,5,87500,10,12,13,2,87500,100000,
19729,4,6,62500,10;13,0,1,2,62500,75000,
19877,4,7,37500,11,0,0,1,37500,50000,
19583,4,9,87500,12,25,26,2,87500,100000,
19719,4,9,87500,12,0,1,2,87500,100000,
19767,4,12,37500,11;15;17,30,31,2,37500,50000,
19476,4,13,87500,11;15;18,73,76,4,87500,100000,
19738,4,17,87500,12;19;23,4,7,4,87500,100000,
19862,4,17,62500,12;19;23,33,35,3,62500,75000,
19593,4,18,37500,12;19;22,29,30,2,37500,50000,
19874,4,21,37500,11;15;17;27;32,94,97,4,37500,50000,
