120823,0,1,137500,0,0,2,3,137500,150000,
120437,0,2,87500,1,10,11,2,87500,100000,
120756,0,3,212500,0;3,40,45,6,212500,225000,
120818,0,3,250000,0;3,9,15,7,250000,262500,
120852,0,3,250000,0;3,18,24,7,250000,262500,
120741,0,5,237500,0;3;8,28,37,10,237500,250000,
120792,0,5,187500,0;3;8,61,68,8,187500,200000,
120788,0,6,137500,0;3;9,53,58,6,137500,150000,
120665,0,7,87500,1;4;11,0,3,4,87500,100000,
120659,0,8,187500,1;4;11;15,86,93,8,187500,200000,
120804,0,9,212500,1;5,14,19,6,212500,225000,
120749,0,10,212500,1;6,34,39,6,212500,225000,
120600,0,16,187500,1;6;21;25,262,277,16,187500,200000,
120850,0,17,237500,1;6;23,22,31,10,237500,250000,
120607,0,18,137500,1;6;22,151,156,6,137500,150000,
120652,1,5,250000,3;8,0,6,7,250000,262500,
120743,1,6,100000,3;9,48,50,3,100000,112500,
120755,1,7,237500,3;9;14,83,92,10,237500,250000,
120785,1,11,87500,2;6;21,16,19,4,87500,100000,
120791,1,14,87500,3;9;14;15;18;28,152,159,8,87500,100000,
120678,1,16,87500,2;6;21;25,51,58,8,87500,100000,
120846,1,19,187500,2;6;22;38,177,192,16,187500,200000,
120578,2,7,137500,4;11,55,58,4,137500,150000,
120793,2,7,100000,4;11,6,8,3,100000,112500,
120825,2,7,250000,4;11,11,17,7,250000,262500,
120843,2,7,137500,4;11,20,23,4,137500,150000,
120800,2,12,237500,4;11;15;17,67,76,10,237500,250000,
120831,2,12,137500,4;11;15;17,278,283,6,137500,150000,
120814,3,6,137500,9,0,1,2,137500,150000,
120667,3,7,100000,9;14,34,36,3,100000,112500,
120824,3,8,137500,9;14;15,96,99,4,137500,150000,
11221,3,9,12500,9;14;15;16,42,42,1,12500,25000,
11222,3,9,12500,7;12,0,0,1,12500,37500,
11223,3,9,12500,7;12,3,3,1,12500,37500,
120773,3,9,100000,7;12,10,12,3,100000,112500,
15052,3,10,0,9;14;15;16;19,45,45,1,0,25000,
15053,3,10,0,9;14;15;16;19,197,197,1,0,25000,
15054,3,10,0,9;14;15;16;19,200,200,1,0,25000,
15055,3,10,0,9;14;15;16;19,203,203,1,0,25000,
15056,3,10,12500,9;14;15;16;19,265,265,1,12500,25000,
120727,3,11,137500,7;12;20,26,31,6,137500,150000,
120856,3,12,87500,9;14;15;17,135,138,4,87500,100000,
120738,3,13,137500,9;14;15;18,168,173,6,137500,150000,
120694,3,15,237500,9;14;15;17;27,390,399,10,237500,250000,
120812,3,16,237500,9;14;15;17;27;31,356,375,20,237500,250000,
120581,3,18,87500,7;12;19;22,66,73,8,87500,100000,
120765,3,18,187500,7;12;19;22,206,221,16,187500,200000,
120562,4,5,137500,10,9,11,3,137500,150000,
120787,4,6,100000,10;13,0,2,3,100000,112500,
120507,4,12,237500,11;15;17,184,193,10,237500,250000,
120752,4,15,187500,11;15;17;27,268,275,8,187500,200000,
120774,4,15,237500,12;20;24;26;28;29,270,289,20,237500,250000,
120786,4,19,237500,12;19;22;38,224,243,20,237500,250000,
120808,4,23,137500,11;15;18;28;30,216,227,12,137500,150000,
120817,5,10,87500,13;14;15;16;19,23,30,8,87500,100000,
120677,5,13,137500,13;14;15;18,304,309,6,137500,150000,
120603,5,15,87500,13;14;15;17;27,312,319,8,87500,100000,
120784,5,17,87500,13;14;15;16;19;23,115,122,8,87500,100000,
120855,5,18,87500,13;14;15;16;19;22,125,132,8,87500,100000,
120845,5,21,87500,13;14;15;17;27;32,141,148,8,87500,100000,
120624,5,22,187500,13;14;15;17;27;33,286,301,16,187500,200000,
120851,6,7,237500,14,0,4,5,237500,250000,
120857,6,14,137500,14;15;18;28,176,181,6,137500,150000,
120621,6,18,87500,14;15;16;19;22,322,329,8,87500,100000,
120754,6,19,137500,14;15;16;19;22;38,332,343,12,137500,150000,
120822,7,8,137500,15,57,59,3,137500,150000,
120712,7,9,212500,15;16,0,5,6,212500,225000,
120704,7,10,187500,15;16;19,105,112,8,187500,200000,
120713,7,13,250000,15;18,48,54,7,250000,262500,
120702,7,14,87500,15;18;28,33,36,4,87500,100000,
120692,7,21,237500,15;17;27;32,248,257,10,237500,250000,
120858,7,21,137500,15;17;27;32,206,211,6,137500,150000,
120634,7,22,187500,15;17;27;33,346,353,8,187500,200000,
120683,7,23,187500,15;18;28;30,8,15,8,187500,200000,
120745,8,11,250000,16;20,8,14,7,250000,262500,
120779,8,11,100000,16;20,34,36,3,100000,112500,
120782,8,11,137500,16;20,51,54,4,137500,150000,
90435,8,16,12500,16;20;25,48,48,1,12500,25000,
90436,8,16,12500,17;27;31,8,8,1,12500,25000,
90437,8,16,12500,17;27;31,11,11,1,12500,25000,
90438,8,16,12500,17;27;31,14,14,1,12500,25000,
90439,8,16,12500,17;27;31,17,17,1,12500,25000,
90440,8,16,12500,17;27;31,28,28,1,12500,25000,
120794,8,18,187500,16;19;22,91,98,8,187500,200000,
120844,9,14,137500,20;24;26;28,57,68,12,137500,150000,
120819,9,16,187500,20;25,81,88,8,187500,200000,
120796,9,18,87500,19;22,0,3,4,87500,100000,
120761,10,12,87500,21;24,0,3,4,87500,100000,
120840,10,13,137500,21;24;26,22,33,12,137500,150000,
120719,10,14,137500,21;24;26;28,105,116,12,137500,150000,
120740,10,15,237500,21;24;27,119,138,20,237500,250000,
120734,10,18,250000,22,48,54,7,250000,262500,
120820,10,18,250000,22,16,22,7,250000,262500,
120723,10,19,137500,22;38,34,39,6,137500,150000,
43404,10,23,0,22;38;39;40;41;42,10,10,1,0,12500,
43405,10,23,0,22;38;39;40;41;42,13,13,1,0,12500,
43406,10,23,0,22;38;39;40;41;42,82,82,1,0,12500,
43407,10,23,0,22;38;39;40;41;42,85,85,1,0,12500,
43408,10,23,0,22;38;39;40;41;42,88,88,1,0,12500,
43409,10,23,0,22;38;39;40;41;42,107,107,1,0,12500,
43410,10,23,0,22;38;39;40;41;42,110,110,1,0,12500,
43411,10,23,0,22;38;39;40;41;42,113,113,1,0,12500,
43412,10,23,0,22;38;39;40;41;42,138,138,1,0,12500,
120859,11,12,137500,24,6,9,4,137500,150000,
120848,11,15,237500,24;27,71,80,10,237500,250000,
120847,12,16,137500,27;31,0,5,6,137500,150000,
