ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66579,110.0,3,20,12500,200000,176897.25,344964.86598832236,139489.6212301319,1.7248243299416117,0.6974481061506594,1.1615513689034365,3,16,15,[3;6;7;8;12;15;16;20];[3;4;9;10;18;19;20],0.11551373,0.27828473,0.3232420073655383,8,0,
66607,110.0,3,20,12500,100000,88448.625,98952.90192293942,44302.6590950808,0.9895290192293942,0.443026590950808,0.6178755444949925,3,8,8,[3;6;7;8;12;15;16;20];[3;4;9;10;18;19;20],0.11551373,0.27828473,0.171945328163304,8,0,
66656,110.0,9,21,12500,250000,221121.5625,210904.64659837948,15613.304795010663,0.8436185863935179,0.06245321918004265,0.8831854199220749,3,10,9,[9;11;16;21];[9;10;18;19;20;21],0.11551373,0.27828473,0.24577701482208014,8,1,
