115375,0,1,137500,0,0,2,3,137500,150000,
114983,0,2,87500,1,6,7,2,87500,100000,
115308,0,3,212500,0;3,41,46,6,212500,225000,
115370,0,3,250000,0;3,9,15,7,250000,262500,
115408,0,3,250000,0;3,18,24,7,250000,262500,
115293,0,5,237500,0;3;8,29,38,10,237500,250000,
115344,0,5,187500,0;3;8,79,86,8,187500,200000,
115340,0,6,137500,0;3;9,71,76,6,137500,150000,
115211,0,7,87500,1;4;11,37,40,4,87500,100000,
115205,0,8,187500,1;4;11;15,280,287,8,187500,200000,
115356,0,9,212500,1;5,10,15,6,212500,225000,
115301,0,10,212500,1;6,45,50,6,212500,225000,
114871,0,14,187500,1;4;11;15;18;28,188,203,16,187500,200000,
115148,0,16,187500,1;6;21;25,161,176,16,187500,200000,
115406,0,17,237500,1;6;23,61,70,10,237500,250000,
115154,0,18,137500,1;6;22,118,123,6,137500,150000,
115198,1,5,250000,3;8,0,6,7,250000,262500,
115295,1,6,100000,3;9,54,56,3,100000,112500,
115307,1,7,237500,3;9;14,59,68,10,237500,250000,
115337,1,11,87500,2;6;21,12,15,4,87500,100000,
115343,1,14,87500,3;9;14;15;18;28,164,171,8,87500,100000,
115226,1,16,87500,2;6;21;25,25,32,8,87500,100000,
115402,1,19,187500,2;6;22;38,139,154,16,187500,200000,
115126,2,7,137500,4;11,53,56,4,137500,150000,
115345,2,7,100000,4;11,0,2,3,100000,112500,
115379,2,7,250000,4;11,5,11,7,250000,262500,
115399,2,7,137500,4;11,14,17,4,137500,150000,
115352,2,12,237500,4;11;15;17,68,77,10,237500,250000,
115384,2,12,137500,6;21;24,53,58,6,137500,150000,
115366,3,6,137500,9,0,1,2,137500,150000,
115213,3,7,100000,9;14,36,38,3,100000,112500,
115376,3,8,137500,9;14;15,112,115,4,137500,150000,
10256,3,9,12500,9;14;15;16,42,42,1,12500,25000,
10257,3,9,12500,7;12,0,0,1,12500,37500,
10258,3,9,12500,7;12,3,3,1,12500,37500,
115325,3,9,100000,7;12,23,25,3,100000,112500,
14350,3,10,0,9;14;15;16;19,45,45,1,0,25000,
14351,3,10,0,9;14;15;16;19,48,48,1,0,25000,
14352,3,10,0,9;14;15;16;19,51,51,1,0,25000,
14353,3,10,0,9;14;15;16;19,106,106,1,0,25000,
14354,3,10,0,9;14;15;16;19,109,109,1,0,25000,
115279,3,11,137500,7;12;20,98,103,6,137500,150000,
115412,3,12,87500,9;14;15;17,19,22,4,87500,100000,
115290,3,13,137500,9;14;15;18,80,85,6,137500,150000,
115242,3,15,237500,9;14;15;17;27,264,273,10,237500,250000,
115364,3,16,237500,9;14;15;17;27;31,328,347,20,237500,250000,
115129,3,18,87500,7;12;19;22,88,95,8,87500,100000,
115317,3,18,187500,7;12;19;22,188,203,16,187500,200000,
115395,3,20,87500,7;12;19;22;38;39,35,42,8,87500,100000,
115109,4,5,137500,10,9,11,3,137500,150000,
115339,4,6,100000,10;13,0,2,3,100000,112500,
115056,4,12,237500,11;15;17,121,130,10,237500,250000,
115304,4,15,187500,11;15;17;27,242,249,8,187500,200000,
115326,4,15,237500,11;15;17;27,252,261,10,237500,250000,
115338,4,19,237500,12;19;22;38,206,225,20,237500,250000,
115360,4,23,137500,11;15;18;28;30,314,325,12,137500,150000,
115369,5,10,87500,13;14;15;16;19,350,357,8,87500,100000,
115224,5,13,137500,13;14;15;18,98,103,6,137500,150000,
115336,5,17,87500,13;14;15;16;19;23,145,152,8,87500,100000,
115411,5,18,87500,13;14;15;16;19;22,360,367,8,87500,100000,
115401,5,21,87500,13;14;15;17;27;32,226,233,8,87500,100000,
115407,6,7,237500,14,0,4,5,237500,250000,
115385,6,14,87500,14;15;18;28,298,301,4,87500,100000,
115413,6,14,137500,14;15;18;28,25,30,6,137500,150000,
115168,6,18,87500,14;15;16;19;22,178,185,8,87500,100000,
115306,6,19,137500,14;15;16;19;22;38,370,381,12,137500,150000,
115374,7,8,137500,15,14,16,3,137500,150000,
115261,7,9,212500,15;16,60,65,6,212500,225000,
115253,7,10,187500,15;16;19,304,311,8,187500,200000,
115262,7,13,250000,15;18,5,11,7,250000,262500,
115251,7,14,87500,15;18;28,54,57,4,87500,100000,
115241,7,21,237500,15;17;27;32,133,142,10,237500,250000,
115414,7,21,137500,15;17;27;32,33,38,6,137500,150000,
115180,7,22,187500,15;17;27;33,206,213,8,187500,200000,
115231,7,23,187500,15;18;28;30,216,223,8,187500,200000,
115297,8,11,250000,16;20,12,18,7,250000,262500,
115331,8,11,100000,16;20,5,7,3,100000,112500,
115334,8,11,137500,16;20,21,24,4,137500,150000,
85963,8,16,12500,16;20;25,35,35,1,12500,25000,
85964,8,16,12500,17;27;31,5,5,1,12500,25000,
85965,8,16,12500,17;27;31,14,14,1,12500,25000,
85966,8,16,12500,17;27;31,57,57,1,12500,25000,
85967,8,16,12500,17;27;31,60,60,1,12500,25000,
85968,8,16,12500,17;27;31,63,63,1,12500,25000,
115346,8,18,187500,16;19;22,244,251,8,187500,200000,
115400,9,14,137500,20;24;26;28,124,135,12,137500,150000,
115371,9,16,187500,20;25,87,94,8,187500,200000,
115348,9,18,87500,19;22,23,26,4,87500,100000,
115313,10,12,87500,21;24,0,3,4,87500,100000,
115396,10,13,137500,21;24;26,91,102,12,137500,150000,
115270,10,14,137500,21;24;26;28,35,46,12,137500,150000,
115292,10,15,237500,21;24;27,69,88,20,237500,250000,
115286,10,18,250000,22,45,51,7,250000,262500,
115372,10,18,250000,22,126,132,7,250000,262500,
115275,10,19,137500,22;38,5,10,6,137500,150000,
48628,10,23,0,22;38;39;40;41;42,70,70,1,0,12500,
48629,10,23,0,22;38;39;40;41;42,73,73,1,0,12500,
48630,10,23,0,22;38;39;40;41;42,76,76,1,0,12500,
48631,10,23,0,22;38;39;40;41;42,79,79,1,0,12500,
48632,10,23,0,22;38;39;40;41;42,82,82,1,0,12500,
48633,10,23,0,22;38;39;40;41;42,85,85,1,0,12500,
48634,10,23,0,22;38;39;40;41;42,99,99,1,0,12500,
48635,10,23,0,22;38;39;40;41;42,102,102,1,0,12500,
48636,10,23,0,22;38;39;40;41;42,105,105,1,0,12500,
48637,10,23,0,22;38;39;40;41;42,108,108,1,0,12500,
115415,11,12,137500,24,6,9,4,137500,150000,
115404,11,15,237500,24;27,145,154,10,237500,250000,
115403,12,16,137500,27;31,108,113,6,137500,150000,
115397,12,21,237500,27;32,17,26,10,237500,250000,
115140,12,22,137500,27;33,42,47,6,137500,150000,
115296,12,22,137500,27;33,91,96,6,137500,150000,
115333,14,15,237500,29,0,4,5,237500,250000,
115382,14,19,187500,29;31;34;37,90,105,16,187500,200000,
