ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66446,230.0,22,23,12500,250000,250000.0,424389.55025941995,216187.19181323342,1.6975582010376797,0.8647487672529337,0.832809433784746,0,5,5,[22;23],0.0,0.0,0.0,2,3,
66515,230.0,4,23,12500,150000,150000.0,314341.0198098991,83408.4522701005,2.0956067987326605,0.5560563484673366,1.5395504502653239,0,12,12,[4;7;8;13;14;23];[4;9;11;16;21;22;23],0.0,0.0,0.0,2,0,
66431,230.0,3,18,12500,200000,200000.0,465891.79521397455,184500.02163936006,2.3294589760698727,0.9225001081968003,1.4069588678730724,1,16,16,[3;4;9;10;18],0.0,0.36147872,0.5085856852135465,4,0,
66485,230.0,9,18,12500,100000,61827.4921875,90628.91093519737,63260.48052426927,0.9062891093519738,0.6326048052426927,0.44265793758708694,3,4,3,[9;10;18],0.3817251,0.21265079,0.09413156048647663,8,1,
66389,230.0,0,5,12500,250000,250000.0,378935.3926033954,286540.4088455534,1.5157415704135815,1.1461616353822137,0.36957993503136777,1,10,10,[0;1;3;5];[0;2;4;5],0.0,0.36147872,0.13359528042440477,4,1,
66441,230.0,5,14,12500,250000,154568.734375,921097.0078759573,220737.8806921838,3.684388031503829,0.8829515227687352,4.531053073261693,3,20,13,[5;6;7;8;13;14],0.3817251,0.21265079,0.9635320192338306,8,0,
66476,230.0,0,6,12500,150000,107213.0,147989.94745880237,104945.07098703139,0.9865996497253491,0.6996338065802092,0.4014893407267597,2,6,5,[0;1;3;6];[0;2;4;5;6],0.28524667,0.0,0.0,4,1,
66045,230.0,5,15,12500,100000,71475.3359375,482821.49312190653,263829.13702361746,4.828214931219065,2.6382913702361748,3.063887175925417,2,8,6,[5;6;7;8;12;15],0.28524667,0.0,0.0,4,0,
66226,230.0,7,23,12500,200000,142950.671875,838767.4571000503,372137.1686516136,4.193837285500251,1.860685843258068,3.26427502344844,2,8,6,[7;8;13;14;23],0.28524667,0.0,0.0,4,1,
66661,230.0,7,21,12500,150000,107213.0,94619.29264755895,2436.152768726174,0.6307952843170597,0.016241018458174494,0.8598130855444998,2,6,5,[7;8;12;15;21],0.28524667,0.0,0.0,4,1,
66479,230.0,1,14,12500,100000,71475.3359375,74279.61091025281,68150.24289767849,0.7427961091025281,0.6815024289767848,0.08575501165814745,2,8,6,[1;3;6;7;8;13;14],0.28524667,0.0,0.0,4,0,
66384,230.0,3,13,12500,150000,92741.2421875,281180.6137562286,173472.12004103768,1.8745374250415239,1.1564808002735845,1.1613872619585928,3,6,4,[3;6;7;8;13];[3;4;9;11;12;13],0.3817251,0.21265079,0.24696991969283483,8,1,
66052,230.0,0,18,12500,150000,92741.2421875,390666.9157778083,390177.59015723923,2.6044461051853887,2.601183934381595,0.00527624631147102,3,6,4,[0;2;10;18],0.3817251,0.21265079,0.0011219979506457446,8,1,
66042,230.0,0,16,12500,200000,142950.671875,646914.3364316096,529841.1735710943,3.234571682158048,2.6492058678554713,0.818975987847649,2,16,12,[0;2;10;11;16];[0;1;3;6;7;8;12;15;16],0.28524667,0.0,0.0,4,0,
