ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66506,230.0,4,20,12500,200000,178442.71875,126628.96336192943,113475.70368745891,0.6331448168096472,0.5673785184372946,0.07371138438821713,3,16,15,[4;9;11;16;20];[4;7;8;9;10;18;19;20],0.10778645,0.374215,0.027583906212160718,8,0,
66656,230.0,9,21,12500,250000,223053.390625,210904.6465983937,7465.574165564703,0.8436185863935748,0.029862296662258814,0.9120644487409776,3,10,9,[9;11;16;21];[9;10;18;19;20;21],0.10778645,0.374215,0.341308203913462,8,1,
66444,230.0,16,21,12500,250000,223053.390625,229582.98726399563,217310.531615837,0.9183319490559825,0.8692421264633481,0.05502025919397384,3,5,5,[16;21];[16;20;21],0.10778645,0.374215,0.020589406669968204,8,3,
66639,230.0,4,23,12500,200000,178442.71875,786812.2478951932,20754.81104825485,3.934061239475966,0.10377405524127425,4.2930159966715715,3,16,15,[4;7;8;13;14;23];[4;9;11;16;21;22;23],0.10778645,0.374215,1.606511010508488,8,0,
66536,230.0,10,23,12500,150000,133832.03125,134080.31303355016,76530.51806379097,0.8938687535570011,0.5102034537586064,0.43001508507811714,3,12,11,[10;11;16;21;22;23],0.10778645,0.374215,0.1609180979987831,8,0,
66510,230.0,9,21,12500,250000,223053.390625,193393.7894494875,141123.9781743916,0.7735751577979499,0.5644959126975664,0.2343376620641837,3,10,9,[9;11;16;21];[9;10;18;19;20;21],0.10778645,0.374215,0.08769266980947826,8,1,
66459,230.0,14,20,12500,200000,178442.71875,257738.38205220728,153220.20215097608,1.2886919102610364,0.7661010107548805,0.5857239897125813,3,8,8,[14;15;16;20],0.10778645,0.374215,0.2191867068097975,8,1,
