ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66444,230.0,16,21,12500,250000,189129.0625,229582.98726399563,217310.531615837,0.9183319490559825,0.8692421264633481,0.06488931439259346,3,5,4,[16;21];[16;20;21],0.24348372,0.22596096,0.014662451450987794,8,3,
66459,230.0,14,20,12500,200000,151303.25,257738.38205220728,153220.20215097608,1.2886919102610364,0.7661010107548805,0.6907860608535021,3,8,7,[14;15;16;20],0.24348372,0.22596096,0.15609067802756238,8,1,
66536,230.0,10,23,12500,150000,113477.4453125,134080.31303355016,76530.51806379097,0.8938687535570011,0.5102034537586064,0.5071474481939177,3,12,10,[10;11;16;21;22;23],0.24348372,0.22596096,0.11459552173176331,8,0,
66656,230.0,9,21,12500,250000,189129.0625,210904.6465983937,7465.574165564703,0.8436185863935748,0.029862296662258814,1.0756626309594495,3,10,8,[9;11;16;21];[9;10;18;19;20;21],0.24348372,0.22596096,0.2430577553749735,8,1,
66510,230.0,9,21,12500,250000,189129.0625,193393.7894494875,141123.9781743916,0.7735751577979499,0.5644959126975664,0.2763711122134007,3,10,8,[9;11;16;21];[9;10;18;19;20;21],0.24348372,0.22596096,0.062449080456720304,8,1,
66506,230.0,4,20,12500,200000,151303.25,126628.96336192943,113475.70368745891,0.6331448168096472,0.5673785184372946,0.08693309093687802,3,16,13,[4;9;11;16;20];[4;7;8;9;10;18;19;20],0.24348372,0.22596096,0.019643484251264817,8,0,
66555,230.0,0,22,12500,100000,100000.0,124810.64239108264,44248.836403073714,1.2481064239108264,0.4424883640307371,0.8056180598800893,0,8,8,[0;2;4;7;8;12;15;22];[0;1;2;10;11;16;21;22],0.0,0.0,0.0,2,0,
