ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
1420,190.0,13,19,12500,60000,47133.046875,198336.9551314961,80311.58780901806,3.305615918858268,1.3385264634836345,2.5040895160759074,3,5,4,[13;14;15;21;20;19];[13;8;9;10;18;19];[13;12;15;16;17;19],0.21444921,0.23766743,0.5951405109286106,8,0,
1640,190.0,12,22,12500,80000,80000.0,113309.69661594111,10096.833506170384,1.4163712076992638,0.1262104188271298,1.290160788872134,0,4,4,[12;15;22];[12;13;14;23;22];[12;11;16;21;22],0.0,0.0,0.0,2,1,
1148,190.0,3,15,12500,70000,70000.0,276733.4280262784,184097.74110067473,3.9533346860896916,2.629967730009639,1.3233669560800525,1,3,3,[3;6;7;8;12;15];[3;4;9;11;16;15];[3;1;2;9;8;13;14;15];[3;5;4;2;10;17;16;21;15],0.0,0.25740826,0.3406455872252928,4,1,
1650,190.0,2,21,12500,60000,38392.6875,33028.37255859263,4974.335598210686,0.5504728759765438,0.08290559330351144,0.7307129957408584,2,5,4,[2;10;17;16;21];[2;9;8;12;15;21];[2;4;9;11;16;20;21];[2;1;3;6;7;8;13;14;23;22;21],0.36012182,0.0,0.0,4,0,
1588,190.0,21,2,12500,80000,80000.0,163750.28787089774,33163.186091596086,2.046878598386222,0.4145398261449511,1.6323387722412708,1,7,7,[21;16;17;10;2];[21;15;12;8;9;2];[21;20;19;18;10;9;4;2];[21;22;23;14;13;8;7;6;3;1;2],0.0,0.25740826,0.42017748521378745,4,0,
1633,190.0,9,1,12500,80000,62844.0625,57381.611633759916,13503.745398059693,0.717270145421999,0.16879681747574615,0.6982022635548644,3,4,3,[9;2;1];[9;4;3;1];[9;10;2;0;1],0.21444921,0.23766743,0.16593993513247807,8,1,
1553,190.0,8,22,12500,70000,44791.47265625,222745.7073277873,42753.56558561194,3.182081533254104,0.6107652226515992,4.018446786045955,2,3,2,[8;12;15;22];[8;13;14;23;22];[8;9;11;16;21;22],0.36012182,0.0,0.0,4,1,
1587,190.0,2,18,12500,50000,31993.908203125,135452.2600607658,21545.48660422524,2.709045201215316,0.4309097320845048,3.5602644903539415,2,2,2,[2;10;18];[2;9;10;17;19;18],0.36012182,0.0,0.0,4,1,
1526,190.0,17,10,12500,80000,51190.25390625,87066.24339075411,58578.06041248871,1.0883280423844264,0.7322257551561089,0.5565157758754864,2,3,2,[17;10];[17;19;18;10];[17;16;11;10],0.36012182,0.0,0.0,4,2,
1606,190.0,21,15,12500,70000,44791.47265625,76405.18781236341,21750.75131905487,1.091502683033763,0.310725018843641,1.2201974071972848,2,2,1,[21;15];[21;22;15];[21;16;15];[21;20;16;11;12;15],0.36012182,0.0,0.0,4,3,
