ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66045,230.0,5,15,12500,100000,65876.1640625,482821.49312190653,263829.13702361746,4.828214931219065,2.6382913702361748,3.3243035003300823,2,8,6,[5;6;7;8;12;15],0.34123838,0.0,0.0,4,0,
66633,230.0,11,15,12500,250000,170239.421875,308009.96405444894,31386.54120107276,1.2320398562177957,0.12554616480429104,1.6249081728107948,3,10,7,[11;12;15],0.3190423,0.23902172,0.38838834387325355,8,1,
66249,230.0,3,15,12500,250000,250000.0,665870.1180708846,435563.1719973303,2.6634804722835383,1.7422526879893212,0.9212277842942171,1,10,10,[3;6;7;8;12;15];[3;4;9;11;12;13;14;15],0.0,0.10952738,0.10089966492847866,4,1,
66415,230.0,1,7,12500,250000,164690.40625,393124.95963658026,256379.72346051186,1.572499838546321,1.0255188938420474,0.8303169578568125,2,10,7,[1;3;6;7];[1;2;4;7],0.34123838,0.0,0.0,4,1,
66576,230.0,2,12,12500,150000,102143.6484375,122619.73099697343,51709.58979711031,0.8174648733131562,0.3447305986474021,0.6942197614257376,3,6,5,[2;4;7;8;12];[2;10;11;12],0.3190423,0.23902172,0.16593360039405927,8,1,
65699,230.0,0,2,12500,100000,100000.0,449650.97272443015,408280.1098705886,4.496509727244302,4.082801098705886,0.4137086285384157,0,2,2,[0;2];[0;1;2],0.0,0.0,0.0,2,3,
66521,230.0,20,23,12500,250000,170239.421875,224082.062735377,134743.52506166554,0.896328250941508,0.5389741002466621,0.524781735818244,3,10,7,[20;21;22;23],0.3190423,0.23902172,0.12543423233376272,8,1,
66563,230.0,19,23,12500,100000,68095.765625,65736.59695983451,39957.75677460642,0.6573659695983451,0.39957756774606423,0.3785674371902635,3,4,3,[19;20;21;22;23],0.3190423,0.23902172,0.09048583940613164,8,1,
66386,230.0,17,19,12500,150000,98814.2421875,205246.0067513806,173108.9448548488,1.3683067116758707,1.1540596323656587,0.3252270208768255,2,3,2,[17;19],0.34123838,0.0,0.0,4,3,
66490,230.0,2,12,12500,250000,170239.421875,526512.880513252,153397.4633606334,2.106051522053008,0.6135898534425337,2.191709886600441,3,10,7,[2;4;7;8;12];[2;10;11;12],0.3190423,0.23902172,0.5238662635531589,8,1,
66641,230.0,18,21,12500,150000,150000.0,356385.1327197085,14506.429440842794,2.3759008847980567,0.09670952960561863,2.279191355192438,0,6,6,[18;19;20;21],0.0,0.0,0.0,2,1,
66156,230.0,1,5,12500,250000,170239.421875,722098.3671784466,547480.4833577309,2.8883934687137867,2.1899219334309237,1.0257194550354538,3,7,5,[1;3;5];[1;2;4;5],0.3190423,0.23902172,0.2451692268435549,8,2,
66545,230.0,0,1,12500,150000,150000.0,114793.82454872393,71909.53528100578,0.7652921636581596,0.4793969018733719,0.28589526178478764,1,3,3,[0;1],0.0,0.10952738,0.03131335877024725,4,3,
66387,230.0,10,15,12500,250000,170239.421875,444747.8225373942,287743.31745876226,1.7789912901495768,1.150973269835049,0.9222570555986789,3,20,14,[10;11;12;15],0.3190423,0.23902172,0.220439466329832,8,0,
