ID,Carga na Rede, Nó Fonte, Nó Destino, Rate, Largura de banda total, Largura de banda para restauração,Banda total, Banda transmitida, Tempo total para transmissão, Tempo transmitido, Tempo restante para transmissão, Classe, Total de slots, Slots necessários para restauração, Caminhos, Degradação%, Delay%, Delay, Weight, Modulation 
66612,230.0,3,20,12500,200000,200000.0,906670.3200385405,38173.15495109597,4.533351600192702,0.19086577475547983,4.3424858254372225,0,16,16,[3;6;7;8;12;15;16;20];[3;4;9;10;18;19;20],0.0,0.0,0.0,2,0,
66656,230.0,9,21,12500,250000,174385.484375,210904.6465983937,7465.574165564703,0.8436185863935748,0.029862296662258814,1.1666055170484555,3,10,7,[9;11;16;21];[9;10;18;19;20;21],0.30245805,0.26109076,0.30458991577307254,8,1,
66536,230.0,10,23,12500,150000,104631.2890625,134080.31303355016,76530.51806379097,0.8938687535570011,0.5102034537586064,0.5500246954682707,3,12,9,[10;11;16;21;22;23],0.30245805,0.26109076,0.14360636326292286,8,0,
66459,230.0,14,20,12500,200000,139508.390625,257738.38205220728,153220.20215097608,1.2886919102610364,0.7661010107548805,0.749189203470847,3,8,6,[14;15;16;20],0.30245805,0.26109076,0.19560637511866183,8,1,
66444,230.0,16,21,12500,250000,174385.484375,229582.98726399563,217310.531615837,0.9183319490559825,0.8692421264633481,0.07037544113656677,3,5,4,[16;21];[16;20;21],0.30245805,0.26109076,0.018374377092363225,8,3,
66506,230.0,4,20,12500,200000,139508.390625,126628.96336192943,113475.70368745891,0.6331448168096472,0.5673785184372946,0.09428292903563758,3,16,12,[4;9;11;16;20];[4;7;8;9;10;18;19;20],0.30245805,0.26109076,0.024616401169145704,8,0,
66510,230.0,9,21,12500,250000,174385.484375,193393.7894494875,141123.9781743916,0.7735751577979499,0.5644959126975664,0.2997371619885953,3,10,7,[9;11;16;21];[9;10;18;19;20;21],0.30245805,0.26109076,0.07825860206383199,8,1,
